HOTRAZONSOCIAL,HOTLOCALIDAD,ANIO,MES,DIAS,Importe,CARGO
TRONADOR,MAR DEL PLATA,2020,4,3,9324,1190
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2021,10,7,25991,1190
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,4,4,38808,1160
ALTOS DE MERLO,VILLA DE MERLO,2020,2,8,38880,1161
TRONADOR,MAR DEL PLATA,2023,2,4,118800,1161
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,7,7,65939,1154
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,7,7,118664,1180
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,7,7,110907,1180
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,7,7,110907,1180
TRONADOR,MAR DEL PLATA,2022,11,2,24640,1180
CASEROS 248,CORDOBA,2022,8,7,86097,55,1340
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,4,4,154440,1311
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2021,12,3,18555,1311
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2020,1,4,25920,1721
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2021,1,4,26704,1721
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2021,1,4,40266,67,1721
ALTOS DE MERLO,VILLA DE MERLO,2023,1,2,76000,1721
ALTOS DE MERLO,VILLA DE MERLO,2023,1,2,93800,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,6,2,43860,1333
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,6,2,43860,1333
ALEJANDRO I,SALTA,2022,6,2,17262,1333
CABAÑAS COIRÓN,VILLA GESELL,2022,1,7,67200,1372
TRONADOR,MAR DEL PLATA,2022,1,7,74480,1731
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,4,3,13366,34,JJJJ
ALTOS DE MERLO,VILLA DE MERLO,2020,3,4,21120,1160
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,3,5,40050,1160
DESIGN BUENOS AIRES,C.A.B.A.,2022,7,2,44729,1160
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2022,8,2,48150,1160
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,6,3,51030,JJJJ
DESIGN BUENOS AIRES,C.A.B.A.,2023,8,2,55022,JJJJ
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,1,4,95760,JJJJ
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2022,10,3,34713,JJJJ
DESIGN BUENOS AIRES,C.A.B.A.,2022,12,2,37635,1372
PARADISO PLAYA,VALERIA DEL MAR,2022,12,3,55352,1220
PARADISO PLAYA,VALERIA DEL MAR,2023,2,5,311040,1220
PARADISO PLAYA,VALERIA DEL MAR,2023,2,5,243775,1220
SAVOIA - OSTENDE,OSTENDE,2022,2,3,51030,1220
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2020,12,1,3371,1220
LOS YÁMANAS,USHUAIA,2023,11,4,199980,1170
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,1,7,209292,6420
LOS YÁMANAS,USHUAIA,2020,1,7,42021,6420
LOS YÁMANAS,USHUAIA,2020,1,5,30015,6420
CABAÑAS COIRÓN,VILLA GESELL,2022,3,7,49000,1150
TRONADOR,MAR DEL PLATA,2023,11,2,46800,1355
VALERIA,VALERIA DEL MAR,2022,1,5,123375,1170
VALERIA,VALERIA DEL MAR,2022,2,4,66600,1170
VALERIA,VALERIA DEL MAR,2022,1,10,190575,1170
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,1,10,57380,1170
VALERIA,VALERIA DEL MAR,2023,1,7,233625,1170
VALERIA,VALERIA DEL MAR,2023,9,5,121875,1170
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,7,7,338703,1170
HOTEL SANTA ELÍA,MAR DEL PLATA,2021,12,3,8610,1170
RESIDENCIA PARQUE BONITO,VILLA GESELL,2021,12,3,8610,1170
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,7,1,17610,1340
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2022,6,7,64211,1340
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2020,3,7,8141,1340
PARADISO PLAYA,VALERIA DEL MAR,2020,1,13,157066,4613
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,6,4,101250,1371
SOHO SUITES,SAN FRANCISCO,2023,6,1,11344,1371
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,7,4,91640,1371
CASEROS 248,CORDOBA,2021,1,3,10164,1313
TRONADOR,MAR DEL PLATA,2022,1,7,136192,1313
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,12,5,52892,JJJJ
ALTOS DE MERLO,VILLA DE MERLO,2020,3,7,23520,JJJJ
TRONADOR,MAR DEL PLATA,2020,3,3,11655,JJJJ
ALEJANDRO I,SALTA,2023,4,5,130106,JJJJ
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,5,2,33880,1340
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,8,2,1,1340
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,8,2,44044,1340
HOTEL DEL SOL,C.A.B.A.,2021,12,1,2496,1340
DESIGN CALAFATE,CALAFATE,2023,4,1,37723,1160
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,7,2,101640,1372
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2024,1,10,554625,1372
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2021,10,5,30940,1372
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,2,2,29948,1314
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,3,3,44922,1314
DESIGN BUENOS AIRES,C.A.B.A.,2023,10,6,271570,1314
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,10,4,283500,1130
DESIGN BUENOS AIRES,C.A.B.A.,2022,9,3,31976,1360
DESIGN BUENOS AIRES,C.A.B.A.,2022,7,2,21154,1360
DESIGN BUENOS AIRES,C.A.B.A.,2023,5,1,16635,1360
CABAÑAS COIRÓN,VILLA GESELL,2021,12,10,49000,1180
LOS YÁMANAS,USHUAIA,2023,12,2,188265,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,6,6,62255,1177
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,10,5,53807,5,1159
ALEJANDRO I,SALTA,2020,3,1,3897,1160
DESIGN SALTA,SALTA,2020,3,1,3627,1160
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,4,3,73288,1371
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,5,167082,1355
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,10,4,168000,1355
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,11,3,146947,1355
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,7,56661,5,1150
LOS YÁMANAS,USHUAIA,2023,10,4,349635,1150
TRONADOR,MAR DEL PLATA,2020,1,5,22050,1360
SAVOIA - OSTENDE,OSTENDE,2021,1,7,61740,1313
VALERIA,VALERIA DEL MAR,2021,11,6,46620,1313
